#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,CBSSportsName,CBSSportsID,YahooID,YahooName
1,Justin Verlander,434378,8700,8700,5420,*000dp*,DET,SP,SP,Verlander,Justin,Verlander,Justin,Justin Verlander P | DET,530362,7590,Justin Verlander
2,Kenley Jansen,445276,3096,3096,7931,*01svz*,DET,RP,RP,Jansen,Kenley,Jansen,Kenley,Kenley Jansen P | DET,1208718,8758,Kenley Jansen
3,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max,Max Scherzer P | TOR,1225651,8193,Max Scherzer
4,Chris Martin,455119,455119,11847,8768,*02j77*,TEX,RP,RP,Martin,Chris,Martin,Chris,Chris Martin P | TEX,2048821,9684,Chris Martin
5,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,ATL,OF,OF,McCutchen,Andrew,McCutchen,Andrew,Andrew McCutchen OF | ATL,1103290,7977,Andrew McCutchen
6,Justin Turner,457759,5235,5235,7742,*01lum*,FA,1B,1B,Turner,Justin,,,Justin Turner 1B | FA,1600680,8588,
7,Carlos Santana,467793,2396,2396,7514,*01cfr*,ATL,1B,1B,Santana,Carlos,Santana,Carlos,Carlos Santana 1B | ATL,1208743,8619,Carlos Santana
8,Carlos Carrasco,471911,6632,6632,7183,*01as6*,ATL,RP,RP,Carrasco,Carlos,Carrasco,Carlos,Carlos Carrasco P | ATL,1231629,8185,Carlos Carrasco
9,Cory Rasmus,474284,2413,,8492,*02ytp*,TB,P,P,Rasmus,Cory,Rasmus,Cory,Cory Rasmus P | TB,2027392,9400,Cory Rasmus
10,Kirby Yates,489446,9073,9073,8808,*030vs*,LAA,RP,RP,Yates,Kirby,Yates,Kirby,Kirby Yates P | LAA,2036146,9727,Kirby Yates
11,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,2B/SS/ 3B,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel,"Miguel Rojas 2B,3B,SS | LAD",1670123,9726,Miguel Rojas
12,Jose Quintana,500779,11423,11423,8280,*025kd*,COL,SP,SP,Quintana,Jose,Quintana,Jose,Jose Quintana P | COL,1913316,9176,Jose Quintana
13,Tommy Pham,502054,2967,2967,8919,*025fx*,PHI,OF,OF,Pham,Tommy,Pham,Tommy,Tommy Pham OF | PHI,1804466,9842,Tommy Pham
14,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul,Paul Goldschmidt 1B | NYY,1765052,8967,Paul Goldschmidt
15,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu,Yu Darvish P | SD,1937347,9095,Yu Darvish
16,Sandy Leon,506702,506702,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy,Sandy Leon C | ATL,0,9180,Sandy León
17,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B/OF,2B/OF,Altuve,Jose,Altuve,Jose,"Jose Altuve 2B,OF | HOU",1839905,8996,Jose Altuve
18,Starling Marte,516782,9241,9241,7736,*01s9k*,KC,OF,OF,Marte,Starling,Marte,Starling,Starling Marte OF | KC,1741213,9118,Starling Marte
19,Fernando Cruz,518585,518585,7048,11557,*05ym7*,NYY,RP,RP,Cruz,Fernando,Cruz,Fernando,Fernando Cruz P | NYY,2171169,12690,Fernando Cruz
20,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis,Travis d’Arnaud C | LAA,1730742,9096,Travis d’Arnaud
21,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie,Freddie Freeman 1B | LAD,1630079,8658,Freddie Freeman
22,Merrill Kelly,518876,518876,11156,10506,*02hj7*,ARI,SP,SP,Kelly,Merrill,Kelly,Merrill,Merrill Kelly P | ARI,2050483,11251,Merrill Kelly
23,Craig Kimbrel,518886,6655,6655,7760,*01scl*,TB,RP,RP,Kimbrel,Craig,Kimbrel,Craig,Craig Kimbrel P | TB,1718083,8622,Craig Kimbrel
24,Drew Pomeranz,519141,11426,11426,8189,*01ucb*,CHC,RP,RP,Pomeranz,Drew,Pomeranz,Drew,Drew Pomeranz P | CHC,1765810,9068,Drew Pomeranz
25,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris,Chris Sale P | ATL,1762602,8780,Chris Sale
26,Evan Scribner,519267,7525,,8055,*021z0*,TB,P,P,Scribner,Evan,Scribner,Evan,Evan Scribner P | TB,1784688,8913,Evan Scribner
27,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton OF | NYY,1630093,8634,Giancarlo Stanton
28,Hunter Strickland,519326,7836,7836,8890,*01ses*,LAA,RP,RP,Strickland,Hunter,Strickland,Hunter,Hunter Strickland P | LAA,2027413,9809,Hunter Strickland
29,Liam Hendriks,521230,3548,3548,8170,*01ub8*,CHC,RP,RP,Hendriks,Liam,Hendriks,Liam,Liam Hendriks P | CHC,1756629,9057,Liam Hendriks
30,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador,"Salvador Perez C,1B | KC",1793168,9015,Salvador Perez
31,Wilmer Flores,527038,5827,5827,7538,*01cgt*,FA,1B,1B,Flores,Wilmer,,,Wilmer Flores 1B | FA,1665897,9483,
32,Martin Perez,527048,6902,6902,7791,*01fhm*,ATL,SP,SP,Perez,Martin,Pérez,Martín,Martin Perez P | ATL,1674411,8652,Martín Pérez
33,Jesse Hahn,534910,13287,13287,8803,*020dj*,TOR,RP,RP,Hahn,Jesse,Hahn,Jesse,Jesse Hahn P | TOR,2053477,9721,Jesse Hahn
34,Christian Bethancourt,542194,10028,10028,8615,*01sci*,CHC,C,C,Bethancourt,Christian,Bethancourt,Christian,Christian Bethancourt C | CHC,1718084,9530,Christian Bethancourt
35,Carlos Perez,542208,10642,10642,9035,*01suw*,HOU,1B,1B,Perez,Carlos,Pérez,Carlos,Carlos Perez 1B | HOU,1945613,9956,Carlos Pérez
36,Marcell Ozuna,542303,10324,10324,8478,*01usi*,PIT,DH,OF,Ozuna,Marcell,Ozuna,Marcell,Marcell Ozuna DH | PIT,1953522,9385,Marcell Ozuna
37,Shawn Armstrong,542888,12857,12857,9123,*02c47*,CLE,RP,RP,Armstrong,Shawn,Armstrong,Shawn,Shawn Armstrong P | CLE,2121144,10047,Shawn Armstrong
38,Jon Berti,542932,12037,12037,10113,*02c4r*,FA,3B,3B,Berti,Jon,,,Jon Berti 3B | FA,1957205,11169,
39,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit,Gerrit Cole P | NYY,1893753,9121,Gerrit Cole
40,Danny Coulombe,543056,13293,13293,8921,*02hxd*,FA,RP,RP,Coulombe,Danny,,,Danny Coulombe P | FA,2120231,9844,
41,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi P | TEX,1803864,9007,Nathan Eovaldi
42,Anthony Gose,543238,5097,5097,7938,*01sha*,KC,RP,RP,Gose,Anthony,Gose,Anthony,Anthony Gose P | KC,1758976,9120,Anthony Gose
43,Sonny Gray,543243,12768,12768,8546,*0260v*,BOS,SP,SP,Gray,Sonny,Gray,Sonny,Sonny Gray P | BOS,1894635,9459,Sonny Gray
44,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle,Kyle Higashioka C | TEX,1735742,10678,Kyle Higashioka
45,James McCann,543510,12859,12859,8897,*02bra*,ARI,C,C,McCann,James,McCann,James,James McCann C | ARI,1935464,9818,James McCann
46,Austin Nola,543592,15941,15941,9504,*02mzc*,ATL,C,C,Nola,Austin,Nola,Austin,Austin Nola C | ATL,2050477,11599,Austin Nola
47,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony,Anthony Rendon 3B | LAA,1894625,9106,Anthony Rendon
48,Marcus Semien,543760,12533,12533,8602,*02bu9*,NYM,2B,2B,Semien,Marcus,Semien,Marcus,Marcus Semien 2B | NYM,1947827,9517,Marcus Semien
49,Bryan Shaw,543766,8110,8110,8090,*01uay*,SEA,RP,RP,Shaw,Bryan,Shaw,Bryan,Bryan Shaw P | SEA,1734606,8962,Bryan Shaw
50,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George,George Springer OF | TOR,1894629,9339,George Springer
51,Christian Vazquez,543877,9774,9774,8843,*029us*,HOU,C,C,Vazquez,Christian,Vázquez,Christian,Christian Vazquez C | HOU,1810924,9762,Christian Vázquez
52,Albert Suarez,544150,544150,6175,9358,*02xid*,BAL,RP,RP,Suarez,Albert,Suárez,Albert,Albert Suarez P | BAL,1784975,10285,Albert Suárez
53,Tyler Lyons,544928,11334,,8493,*02haz*,NYY,P,P,Lyons,Tyler,Lyons,Tyler,Tyler Lyons P | NYY,2040403,9401,Tyler Lyons
54,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,ARI,1B/2B,1B/2B/ 3B,Vargas,Ildemaro,Vargas,Ildemaro,"Ildemaro Vargas 1B,2B | ARI",2050861,10752,Ildemaro Vargas
55,Randal Grichuk,545341,10243,10243,8773,*01s9c*,CHW,OF,OF,Grichuk,Randal,Grichuk,Randal,Randal Grichuk OF | CHW,1745354,9689,Randal Grichuk
56,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike,Mike Trout OF | LAA,1739608,8861,Mike Trout
57,Michael Lorenzen,547179,14843,14843,9028,*02hir*,COL,SP,SP,Lorenzen,Michael,Lorenzen,Michael,Michael Lorenzen P | COL,2066707,9949,Michael Lorenzen
58,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce,Bryce Harper 1B | PHI,1765813,8875,Bryce Harper
59,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis,Aroldis Chapman P | BOS,1717646,8616,Aroldis Chapman
60,Brooks Raley,548384,548384,10061,8363,*01vxp*,NYM,RP,RP,Raley,Brooks,Raley,Brooks,Brooks Raley P | NYM,2000754,9262,Brooks Raley
61,Andrew Kittredge,552640,12828,12828,9706,*04ggi*,BAL,RP,RP,Kittredge,Andrew,Kittredge,Andrew,Andrew Kittredge P | BAL,2228478,10763,Andrew Kittredge
62,Elias Diaz,553869,11680,11680,9153,*03fhx*,TEX,C,C,Diaz,Elias,Díaz,Elias,Elias Diaz C | TEX,2122215,10076,Elias Díaz
63,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,CIN,3B,3B,Suarez,Eugenio,Suárez,Eugenio,Eugenio Suarez 3B | CIN,1960254,9724,Eugenio Suárez
64,Yimi Garcia,554340,12095,12095,8895,*02z0e*,TOR,RP,RP,Garcia,Yimi,García,Yimi,Yimi Garcia P | TOR,2048494,9815,Yimi García
65,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack,Zack Wheeler P | PHI,1744777,9124,Zack Wheeler
66,Yolmer Sanchez,570560,11602,11602,8846,*02i35*,LAA,OF,OF,Sanchez,Yolmer,Sánchez,Yolmer,Yolmer Sanchez OF | LAA,1956971,9765,Yolmer Sánchez
67,Nolan Arenado,571448,9777,9777,8223,*01sy3*,ARI,3B,3B,Arenado,Nolan,Arenado,Nolan,Nolan Arenado 3B | ARI,1755142,9105,Nolan Arenado
68,Matthew Boyd,571510,15440,15440,9087,*02n4s*,CHC,SP,SP,Boyd,Matthew,Boyd,Matthew,Matthew Boyd P | CHC,2173411,10011,Matthew Boyd
69,Patrick Corbin,571578,9323,9323,8272,*01xfr*,TOR,SP,SP,Corbin,Patrick,Corbin,Patrick,Patrick Corbin P | TOR,1758836,9168,Patrick Corbin
70,Kyle Farmer,571657,14813,14813,9537,*0312h*,ATL,2B,2B,Farmer,Kyle,Farmer,Kyle,Kyle Farmer 2B | ATL,2118133,10775,Kyle Farmer
71,Enrique Hernandez,571771,10472,10472,8835,*02h98*,LAD,1B/3B/ OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,Hernández,Enrique,"Enrique Hernandez 1B,3B,OF | LAD",1810385,9754,Enrique Hernández
72,Derek Law,571882,13133,13133,9289,*02bx6*,ARI,RP,RP,Law,Derek,Law,Derek,Derek Law P | ARI,2114069,10269,Derek Law
73,Luke Maile,571912,13355,13355,9143,*02n1q*,KC,C,C,Maile,Luke,Maile,Luke,Luke Maile C | KC,2117544,10068,Luke Maile
74,Steven Matz,571927,13361,13361,8689,*02h8d*,TB,SP,SP,Matz,Steven,Matz,Steven,Steven Matz P | TB,2107839,9599,Steven Matz
75,Miles Mikolas,571945,571945,9803,9819,*02h9r*,WSH,SP,SP,Mikolas,Miles,Mikolas,Miles,Miles Mikolas P | WAS,1946522,9173,Miles Mikolas
76,Shelby Miller,571946,10197,10197,7683,*01sbv*,CHC,RP,RP,Miller,Shelby,Miller,Shelby,Shelby Miller P | CHC,1739603,8871,Shelby Miller
77,Hoby Milner,571948,571948,13346,9589,*02n0v*,CHC,RP,RP,Milner,Hoby,Milner,Hoby,Hoby Milner P | CHC,2504136,10736,Hoby Milner
78,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,3B,Muncy,Max,Muncy,Max,Max Muncy 3B | LAD,2106304,9606,Max Muncy
79,Burch Smith,572143,572143,12784,8486,*02c1b*,DET,RP,RP,Smith,Burch,Smith,Burch,Burch Smith P | DET,2059552,9392,Burch Smith
80,Christian Walker,572233,13419,13419,8924,*02mw3*,HOU,1B,1B,Walker,Christian,Walker,Christian,Christian Walker 1B | HOU,2044379,9846,Christian Walker
81,Pierce Johnson,572955,13435,13435,8645,*02hdy*,CIN,RP,RP,Johnson,Pierce,Johnson,Pierce,Pierce Johnson P | CIN,2044525,9559,Pierce Johnson
82,Joe Mantiply,573009,14857,14857,9450,*03mle*,TOR,RP,RP,Mantiply,Joe,Mantiply,Joe,Joe Mantiply P | TOR,2166715,10393,Joe Mantiply
83,Taylor Rogers,573124,13449,13449,9225,*02n3l*,MIN,RP,RP,Rogers,Taylor,Rogers,Taylor,Taylor Rogers P | MIN,2164751,10133,Taylor Rogers
84,Caleb Thielbar,573204,573204,10078,8494,*02hfr*,CHC,RP,RP,Thielbar,Caleb,Thielbar,Caleb,Caleb Thielbar P | CHC,1961735,9402,Caleb Thielbar
85,Mike Yastrzemski,573262,573262,14854,10626,*031dw*,ATL,OF,OF,Yastrzemski,Mike,Yastrzemski,Mike,Mike Yastrzemski OF | ATL,2119046,10119,Mike Yastrzemski
86,Willson Contreras,575929,11609,11609,9263,*03oh0*,BOS,1B,1B,Contreras,Willson,Contreras,Willson,Willson Contreras 1B | BOS,2171084,10166,Willson Contreras
87,Yusei Kikuchi,579328,579328,20633,10438,*04ml0*,LAA,SP,SP,Kikuchi,Yusei,Kikuchi,Yusei,Yusei Kikuchi P | LAA,3073522,11263,Yusei Kikuchi
88,Jason Adam,592094,592094,11861,10025,*025it*,SD,RP,RP,Adam,Jason,Adam,Jason,Jason Adam P | SD,1846226,11009,Jason Adam
