TeamCode,Rk,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
COL,1,Rockies,Coors Field,2024-2026,112,112,101,112,102,101,125,110,117,115,123,206,108,97,90,"55,204"
BOS,2,Red Sox,Fenway Park,2024-2026,103,103,99,105,100,99,106,104,105,105,120,90,88,98,97,"55,208"
ARI,3,D-backs,Chase Field,2024-2026,103,101,101,101,102,102,106,103,105,103,111,213,92,99,90,"54,729"
MIN,4,Twins,Target Field,2024-2026,103,102,101,103,100,100,106,103,104,103,113,93,94,98,97,"55,037"
PHI,5,Phillies,Citizens Bank Park,2024-2026,102,105,99,103,99,99,104,100,103,102,97,107,114,95,104,"54,345"
BAL,6,Orioles,Oriole Park at Camden Yards,2024-2026,102,103,102,102,101,105,104,101,103,102,99,108,110,95,100,"55,487"
WSN,7,Nationals,Nationals Park,2024-2026,102,101,102,101,102,102,104,102,103,104,99,93,105,99,94,"54,805"
CIN,8,Reds,Great American Ball Park,2024-2026,101,102,100,100,100,97,102,101,97,94,99,80,113,110,104,"54,185"
NYY,9,Yankees,Yankee Stadium,2024-2026,101,101,103,98,101,105,102,100,95,91,95,75,118,114,103,"56,873"
LAD,10,Dodgers,UNIQLO Field at Dodger Stadium,2024-2026,101,102,102,99,101,102,102,99,98,94,94,65,124,102,102,"56,750"
KCR,11,Royals,Kauffman Stadium,2024-2026,101,98,101,99,102,104,102,102,104,102,117,166,88,100,89,"53,394"
TOR,12,Blue Jays,Rogers Centre,2024-2026,101,100,100,99,100,99,102,100,101,100,104,67,106,100,98,"56,858"
PIT,13,Pirates,PNC Park,2024-2026,101,100,101,102,101,102,102,102,102,103,117,74,82,99,98,"54,674"
MIA,14,Marlins,loanDepot Park,2024-2026,100,98,99,99,99,101,100,101,100,101,103,137,87,102,96,"55,602"
DET,15,Tigers,Comerica Park,2024-2026,100,99,98,99,98,98,100,100,99,100,93,151,101,100,98,"53,547"
HOU,16,Astros,Daikin Park,2024-2026,100,103,98,101,99,99,100,99,99,97,96,84,112,101,107,"53,793"
ATL,17,Braves,Truist Park,2024-2026,100,101,101,102,101,100,100,100,102,105,95,84,100,97,102,"54,686"
CHW,18,White Sox,Rate Field,2024-2026,99,98,99,98,99,99,98,100,98,99,96,68,98,103,98,"54,603"
LAA,19,Angels,Angel Stadium,2024-2026,99,100,99,100,99,99,98,100,98,99,90,87,101,99,106,"53,855"
CLE,20,Guardians,Progressive Field,2024-2026,99,100,99,101,100,97,98,100,99,100,104,62,93,101,105,"54,318"
NYM,21,Mets,Citi Field,2024-2026,98,98,100,98,100,101,96,99,96,96,93,79,101,106,103,"56,928"
CHC,22,Cubs,Wrigley Field,2024-2026,98,97,99,97,99,100,96,97,96,98,81,116,106,103,101,"55,815"
MIL,23,Brewers,American Family Field,2024-2026,98,100,99,100,99,97,96,98,95,96,88,86,103,106,111,"55,820"
SDP,24,Padres,Petco Park,2024-2026,97,96,101,96,100,99,94,97,95,97,87,71,105,103,101,"54,529"
SFG,25,Giants,Oracle Park,2024-2026,97,96,97,98,98,98,94,98,100,102,104,140,79,95,96,"54,158"
TBR,26,Rays,Tropicana Field,2024-2026,97,98,99,98,98,94,94,96,98,98,96,106,105,91,103,"35,621"
STL,27,Cardinals,Busch Stadium,2024-2026,97,94,99,97,100,103,94,99,102,107,107,71,76,94,91,"53,589"
TEX,28,Rangers,Globe Life Field,2024-2026,94,94,99,94,98,100,88,94,95,96,93,86,94,94,101,"53,561"
SEA,29,Mariners,T-Mobile Park,2024-2026,92,95,100,94,100,98,85,92,90,91,85,36,98,95,117,"53,162"
